task_name,task_type,duration,mental_load,physical_load,friction,ideal_slot
Sort your pantry items,mental_organization,30,low,medium,medium,post-reset
Check your email filters,essential,10,low,low,medium,flexible
Read a motivational quote,comprehension,3,low,low,medium,flexible
Browse a recipe site,leisure,15,medium,low,medium,flexible
Wipe down your desk,essential,10,low,low,medium,post-reset
Check your to-do list,essential,5,low,low,medium,post-reset
Clean your kitchen drawer,essential,20,low,low,medium,flexible
Clean your bathroom floor,essential,20,low,low,medium,recovery
Write a short poem,crafting,15,low,low,medium,midday
Check your calendar for upcoming events,essential,10,low,low,medium,flexible
Clean your keyboard and mouse,essential,10,low,low,medium,post-reset
Read a page from a self-help book,comprehension,6,low,low,medium,recovery
Sort your email inbox,essential,20,low,low,medium,flexible
Write a short gratitude list,mental_organization,10,low,low,medium,flexible
Stretch your neck and shoulders,physical,8,low,low,medium,recovery
Check your weekly goals,essential,15,low,low,medium,flexible
Read a page from a philosophy book,comprehension,7,low,low,medium,recovery
Organize your digital notes,essential,25,low,low,medium,post-reset
Write a short reflection on your habits,mental_organization,15,medium,low,medium,midday
Read a page from a science magazine,comprehension,6,low,low,medium,quiet_block
Sort your browser bookmarks,mental_organization,20,medium,low,medium,quiet_block
Write a short plan for the weekend,mental_organization,10,low,low,medium,post-reset
Stretch your wrists and fingers,physical,5,low,low,medium,recovery
Check your monthly spending,essential,15,low,low,medium,morning
Clean your bedroom floor,essential,20,low,low,medium,midday
Read a page from a travel guide,comprehension,6,low,low,medium,recovery
Organize your task board,mental_organization,25,low,low,medium,flexible
Write a short note to yourself,mental_organization,10,low,low,medium,post-reset
Check your water intake,essential,3,low,low,medium,recovery
Clean your kitchen sink,essential,15,low,high,medium,flexible
Read a page from a history book,comprehension,7,low,low,medium,midday
Sort your physical documents,essential,30,low,low,medium,morning
Write a short list of priorities,mental_organization,10,low,low,medium,post-reset
Stretch your lower back,physical,6,low,low,medium,recovery
Check your weekly schedule,essential,10,low,low,medium,flexible
Clean your living room table,essential,15,low,low,medium,flexible
Read a page from a psychology book,comprehension,6,low,low,medium,post-reset
Organize your desktop folders,mental_organization,20,low,low,medium,post-reset
Write a short message to your future self,mental_organization,10,low,low,medium,flexible
Check your screen brightness settings,essential,3,low,low,medium,post-reset
Clean your kitchen floor,essential,20,low,high,medium,flexible
Read a page from a productivity book,comprehension,7,low,low,medium,flexible
Sort your mobile apps,essential,15,low,low,medium,midday
Write a short checklist for tomorrow,mental_organization,10,low,low,medium,flexible
Stretch your hamstrings,physical,8,low,low,medium,recovery
Check your weekly progress,essential,15,low,low,medium,post-reset
Clean your bathroom tiles,essential,20,medium,medium,medium,recovery
Organize your cloud storage,essential,25,low,low,medium,flexible
Write a short review of your week,mental_organization,15,high,low,medium,post-reset
Check your device notifications,essential,5,low,low,medium,post-reset
Clean your kitchen shelves,essential,20,low,high,medium,flexible
Sort your laundry,essential,30,low,low,medium,post-reset
Organize your photo gallery,essential,20,low,low,medium,flexible
Write a short summary of your day,crafting,15,medium,low,medium,flexible
Check your calendar reminders,essential,5,low,low,medium,flexible
Clean your phone case,essential,10,low,low,medium,flexible
Read a page from a poetry book,comprehension,6,low,low,medium,flexible
Write a short list of tasks,essential,10,low,low,medium,flexible
Stretch your ankles,physical,5,low,low,medium,recovery
Check your weekly habits,essential,15,high,medium,medium,post-reset
Clean your dining table,essential,20,low,medium,medium,midday
Read a page from a design book,comprehension,7,low,low,medium,flexible
Organize your bookmarks bar,mental_organization,20,medium,low,medium,flexible
Write a short note to a friend,social,10,low,low,medium,flexible
Check your hydration reminders,essential,3,low,low,medium,post-reset
Clean your kitchen backsplash,essential,15,low,low,medium,morning
Read a page from a cookbook,comprehension,6,low,low,medium,quiet_block
Sort your receipts,mental_organization,30,medium,low,medium,midday
Write a short list of ideas,mental_organization,10,low,low,medium,focus_block
Stretch your spine,physical,6,low,low,medium,flexible
Check your weekly calendar,essential,10,low,low,medium,flexible
Clean your nightstand,essential,15,low,low,medium,midday
Read a page from a memoir,comprehension,6,low,low,medium,morning
Organize your app folders,mental_organization,20,low,low,medium,flexible
Write a short message to your team,social,10,low,low,medium,flexible
Check your battery health,essential,3,low,low,medium,flexible
Clean your kitchen cabinet,essential,20,low,medium,medium,flexible
Read a page from a journal,comprehension,5,low,low,medium,post-reset
Sort your workspace drawers,essential,25,low,low,medium,flexible
Write a short checklist for the week,mental_organization,10,low,low,medium,flexible
Stretch your forearms,physical,8,low,low,medium,flexible
Check your weekly review notes,essential,15,medium,low,medium,morning
Clean your bathroom shelf,essential,20,medium,medium,medium,post-reset
Read a page from a graphic novel,comprehension,6,low,low,medium,quiet_block
Organize your cloud folders,mental_organization,25,low,low,medium,midday
Write a short review of your habits,mental_organization,15,medium,low,medium,flexible
Check your notification settings,essential,5,low,low,medium,post-reset
Sort your laundry basket,crafting,30,low,low,medium,post-reset
Write a short message to yourself,skill_practice,10,low,low,medium,flexible
Stretch your shoulders,leisure,8,low,low,medium,recovery
Check your weekly planner,essential,15,low,low,medium,morning
Read a page from a travel journal,comprehension,6,low,low,medium,post-reset
Organize your digital workspace,crafting,25,medium,low,medium,midday
Write a short reflection on your week,mental_organization,15,medium,low,medium,flexible
Sketch a random doodle on scrap paper,skill_practice,7,low,low,medium,flexible
Rearrange your desk setup slightly,essential,12,low,low,medium,midday
Water your plants (or check if they’re thirsty),essential,8,low,low,medium,midday
Sort out 5 unused apps and uninstall them,essential,15,low,low,medium,flexible
Wipe down your keyboard quickly,essential,6,low,low,medium,flexible
Jot down 3 things you’re grateful for,mental_organization,10,low,low,medium,morning
Try to balance on one foot for fun,leisure,2,low,low,medium,recovery
Look out the window and notice 5 details,leisure,4,low,low,medium,recovery
Make a mini playlist with 3 mood songs,essential,12,low,low,medium,recovery
Sort out tangled cables nearby,essential,18,low,high,medium,flexible
Take a goofy selfie and save it for later,physical,5,low,low,medium,quiet_block
Declutter your wallet or purse,essential,10,low,low,medium,midday
Re-fold one messy drawer of clothes,essential,20,low,high,medium,flexible
Write a random haiku about your surroundings,mental_organization,6,low,low,medium,midday
Send a quick 'hey' message to an old friend,social,8,low,low,medium,flexible
Stretch your arms like a cat,physical,3,low,low,medium,midday
Check the battery health of your devices,essential,9,low,low,medium,recovery
Rename messy files on your desktop,essential,15,medium,low,medium,flexible
Reorganize your fridge shelf,mental_organization,14,low,low,medium,flexible
Polish your glasses or sunglasses,essential,5,low,low,medium,post-reset
Delete 5 old screenshots you don’t need,essential,6,low,low,medium,flexible
Play one round of a puzzle game,skill_practice,10,low,low,medium,recovery
Practice your signature in funky styles,skill_practice,8,low,low,medium,post-reset
Take a mindful sip of water,mental_organization,2,low,low,medium,post-reset
Reposition a picture frame in your room,mental_organization,4,low,low,medium,flexible
Quickly vacuum under your bed,essential,15,low,low,medium,post-reset
Check the expiry date of 3 pantry items,essential,7,low,low,medium,flexible
Pet your cat/dog (or imagine it if none),essential,5,low,low,medium,flexible
Try 10 slow deep breaths,mental_organization,5,low,low,medium,quiet_block
Back up a few photos to the cloud,essential,12,low,low,medium,recovery
Organize a folder in your email,mental_organization,18,low,low,medium,post-reset
Write down 2 random ideas for fun projects,leisure,9,low,low,medium,post-reset
Look through your bookmarks and delete 2,mental_organization,10,low,low,medium,flexible
Stretch your wrists gently,physical,3,low,low,medium,midday
Clean smudges from your screen,essential,6,low,low,medium,flexible
Make a 2-line poem that rhymes,crafting,4,low,low,medium,focus_block
Try a silly dance move,leisure,5,low,low,medium,morning
Reorder apps on your home screen,mental_organization,12,low,medium,medium,flexible
Put coins in order by size,mental_organization,8,low,low,medium,post-reset
Scan through today’s headlines,comprehension,15,medium,low,medium,flexible
Check the weather for tomorrow,essential,5,low,low,medium,flexible
Fold one shirt neatly,physical,3,low,low,medium,flexible
Send yourself a reminder email,leisure,6,low,low,medium,post-rest
Write down a dream you remember,mental_organization,10,low,low,medium,post-reset
Try to whistle a tune you like,leisure,4,low,low,medium,recovery
Go for a long walk,physical,180,low,medium,medium,post-reset
Go visit parents,essential,180,low,low,medium,post-reset
Learn how to play the bass,skill_practice,30,low,low,medium,focus_block
Try to draw a circle without lifting pen,skill_practice,5,low,low,medium,midday
Check your to-do list and cross off 1 thing,mental_organization,5,low,low,medium,post-reset
Delete 5 old voice notes,essential,10,low,low,medium,morning
Check if your chargers are working fine,essential,7,low,low,medium,flexible
Eat an apple,essential,15,low,low,medium,recovery
Eat an orange,essential,15,low,low,medium,recovery
Find new offers in Mercado Libre,essential,15,medium,low,medium,flexible
Learn something new,crafting,25,medium,medium,medium,flexible
learn about the universe,comprehension,15,high,low,medium,focus_block
Complete a videogame,leisure,40,low,low,medium,recovery
Practice mindfulness,skill_practice,15,medium,low,medium,flexible
Make a silly voice recording,leisure,7,low,low,medium,recovery
Clean the microwave handle,essential,5,low,low,medium,post-reset
Reposition a plant for better light,essential,8,low,low,medium,flexible
Close your eyes & count backwards from 30,leisure,2,low,low,medium,post-reset
Snap a photo of something random nearby,leisure,4,low,low,medium,recovery
Write a pretend recipe for an imaginary dish,crafting,12,low,low,medium,recovery
Move 3 items on your desk just for symmetry,physical,6,low,low,medium,flexible
Polish a spoon or fork for fun,leisure,7,low,low,medium,recovery
Compliment yourself in the mirror,mental_organization,4,low,low,medium,midday
Re-roll your headphones neatly,essential,7,low,low,medium,flexible
Write one random fact you know,mental_organization,6,low,low,medium,post-reset
Five push-ups,physical,5,low,low,medium,morning
working on a training session powerpoint,essential,30,low,high,medium,midday
Develop an app,essential,45,high,low,medium,midday
Delete 2 files from downloads,essential,6,low,low,medium,post-reset
Rearrange spices in the kitchen,essential,15,high,medium,medium,post-reset
List 2 things you’d like to learn someday,mental_organization,7,low,low,medium,quiet_block
Polish your nails or clip them,essential,15,low,low,medium,flexible
Straighten a stack of papers,essential,4,low,low,medium,recovery
Open a random map location and look around,leisure,9,low,low,medium,flexible
Clean your earbuds real quick,essential,12,low,low,medium,recovery
"Write down 3 random words, make a sentence",skill_practice,8,low,low,medium,midday
Straighten your bedsheet,essential,5,low,low,medium,morning 
Check the smell of your fridge,essential,3,low,low,medium,recovery
Fold a piece of paper into a tiny square,physical,4,low,low,medium,flexible
Browse your notes app for old gems,mental_organization,10,low,low,medium,focus_block
Hum your fav song’s chorus,leisure,4,low,low,medium,post-reset
Check Upwork applications on Upwork,essential,15,medium,low,medium,midday
Upload a video to youtube,essential,30,low,low,medium,focus_block
Work on a video project,essential,60,high,low,medium,focus_block
Drink a glass of water during the day,essential,10,low,low,medium,recovery
Read one psychology article,comprehension,15,medium,low,medium,post-reset
Wash and hang your clothes,essential,30,high,medium,medium,post-reset
walk up to 1500 steps,physical,20,low,medium,medium,post-reset
Learn about prehistoric history,comprehension,30,medium,low,medium,midday
Clean computer from unnecessary programs,essential,30,low,medium,medium,midday
Reorganize your browser tabs,mental_organization,9,medium,low,medium,flexible
Invent a new smoothie recipe,mental_organization,20,medium,low,medium,flexible
Write a haiku about your day,mental_organization,10,low,low,medium,post-reset
Rearrange three objects on your desk,mental_organization,5,low,low,medium,flexible
Listen to a song with closed eyes,comprehension,6,low,low,medium,recovery
Draw your mood as a shape,leisure,15,low,low,medium,recovery
Sort your apps by color,essential,25,medium,low,medium,post-reset
Describe your current energy in one word,mental_organization,2,low,low,medium,post-reset
Write a fake news headline,skill_practice,8,low,low,medium,midday
Sketch a map of your ideal morning,mental_organization,20,low,high,medium,flexible
List five things you learned this week,mental_organization,10,low,low,medium,post-reset
Write a tweet from your future self,leisure,5,low,low,medium,post-reset
Sort your notes by mood,mental_organization,20,low,low,medium,flexible
Write a short poem using only verbs,crafting,8,low,low,medium,flexible
Create a new emoji using punctuation,crafting,5,low,low,medium,midday
Write a metaphor for your current focus,mental_organization,7,low,low,medium,flexible
Invent a new productivity rule,mental_organization,12,low,low,medium,flexible
Make a playlist for a fictional character,leisure,30,low,low,medium,recovery
Go for a 30-minute walk,physical,30,low,low,medium,recovery
Trace the outline of your hand,mental_organization,3,low,low,medium,flexible
Invent a new name for your workspace,mental_organization,5,low,low,medium,flexible
List five textures around you,mental_organization,4,low,low,medium,flexible
Write a short note to your future distractions,mental_organization,8,low,low,medium,flexible
Reposition one object with intention,mental_organization,2,low,low,medium,flexible
Describe your current mood using a color,mental_organization,3,low,low,medium,flexible
Invent a new break ritual,mental_organization,6,low,low,medium,recovery
Write a short list of things you’re avoiding,mental_organization,10,low,low,medium,flexible
Make a sound using an object nearby,leisure,2,low,low,medium,recovery
List five things you can hear right now,mental_organization,3,low,low,medium,post-reset
Write a short message to your past self,mental_organization,10,low,low,medium,flexible
Invent a new tag for your digital notes,mental_organization,5,low,low,medium,flexible
Describe your current focus as a landscape,mental_organization,7,low,low,medium,flexible
List five things that feel unfinished,mental_organization,8,low,low,medium,flexible
Write a short poem using only nouns,crafting,10,low,low,medium,flexible
Create a fictional app for your habits,crafting,12,low,low,medium,flexible
List five things that make you feel grounded,mental_organization,6,low,low,medium,post-reset
Write a short dialogue between your calendar and your to-do list,mental_organization,12,low,low,medium,flexible
Invent a new time slot label,mental_organization,4,low,low,medium,flexible
Describe your ideal reset in one sentence,mental_organization,5,low,low,medium,flexible
Make a list of things you’d automate if you could,mental_organization,10,low,low,medium,flexible
Write a short reflection using only metaphors,mental_organization,12,low,low,medium,flexible
Create a fictional productivity tool and name it,mental_organization,10,low,low,medium,flexible
Eat 3 eggs,essential,15,low,low,medium,recovery
Organize books by genre,mental_organization,15,low,low,medium,flexible
